zipcode,cases,date
55313,160,8/6/20
55314,6,8/6/20
55315,66,8/6/20
55316,254,8/6/20
55317,166,8/6/20
55318,295,8/6/20
55319,15,8/6/20
55320,37,8/6/20
55321,9,8/6/20
55322,14,8/6/20
55324,<=5,8/6/20
55325,13,8/6/20
55327,41,8/6/20
55328,54,8/6/20
55329,13,8/6/20
55330,235,8/6/20
55331,220,8/6/20
55332,<=5,8/6/20
55333,<=5,8/6/20
55334,32,8/6/20
55335,<=5,8/6/20
55336,47,8/6/20
55337,646,8/6/20
55338,8,8/6/20
55339,<=5,8/6/20
55340,38,8/6/20
55341,18,8/6/20
55342,11,8/6/20
55343,426,8/6/20
55344,196,8/6/20
55345,154,8/6/20
55346,132,8/6/20
55347,190,8/6/20
55349,19,8/6/20
55350,58,8/6/20
55352,83,8/6/20
55353,9,8/6/20
55354,13,8/6/20
55355,41,8/6/20
55356,31,8/6/20
55357,27,8/6/20
55358,24,8/6/20
55359,25,8/6/20
55360,29,8/6/20
55362,127,8/6/20
55363,47,8/6/20
55364,90,8/6/20
55366,0,8/6/20
55367,<=5,8/6/20
55368,14,8/6/20
55369,408,8/6/20
55370,<=5,8/6/20
55371,57,8/6/20
55372,261,8/6/20
55373,28,8/6/20
55374,131,8/6/20
55375,25,8/6/20
55376,144,8/6/20
55378,291,8/6/20
55379,632,8/6/20
55381,6,8/6/20
55382,13,8/6/20
55384,44,8/6/20
55385,<=5,8/6/20
55386,56,8/6/20
55387,111,8/6/20
55388,35,8/6/20
55389,7,8/6/20
55390,22,8/6/20
55391,172,8/6/20
55395,15,8/6/20
55396,<=5,8/6/20
55397,10,8/6/20
55398,84,8/6/20
55401,122,8/6/20
55402,8,8/6/20
55403,205,8/6/20
55404,996,8/6/20
55405,265,8/6/20
55406,419,8/6/20
55407,1073,8/6/20
55408,788,8/6/20
55409,186,8/6/20
55410,114,8/6/20
55411,769,8/6/20
55412,378,8/6/20
55413,218,8/6/20
55414,373,8/6/20
55415,77,8/6/20
55416,412,8/6/20
55417,199,8/6/20
55418,415,8/6/20
55419,257,8/6/20
55420,437,8/6/20
55421,667,8/6/20
55422,420,8/6/20
55423,670,8/6/20
55424,101,8/6/20
55425,213,8/6/20
